manager_key,manager_qid,club_qid,prec_da,prec_a,wd_da,wd_a
steffen baumgart,Q2338559,Q160532,11.0,11.0,2017-04-16,2021-06-30
steffen baumgart,Q2338559,Q104770,11.0,11.0,2021-07-01,2023-12-31
steffen baumgart,Q2338559,Q51974,11.0,11.0,2024-02-20,2024-11-24
steffen baumgart,Q2338559,Q141971,11.0,,2025-01-02,
julien stephan,Q59390957,Q19509,11.0,11.0,2018-12-03,2021-03-01
julien stephan,Q59390957,Q126334,11.0,11.0,2021-07-01,2023-01-09
julien stephan,Q59390957,Q109507186,9.0,9.0,2015-01-01,2018-01-01
julien stephan,Q59390957,Q18723,9.0,,2025-01-01,
julien stephan,Q59390957,Q19509,9.0,9.0,2023-01-01,2024-01-01
graham potter,Q5593150,Q306797,9.0,9.0,2010-01-01,2018-01-01
graham potter,Q5593150,Q18659,9.0,9.0,2018-01-01,2019-01-01
graham potter,Q5593150,Q19453,9.0,9.0,2019-01-01,2022-01-01
graham potter,Q5593150,Q9616,9.0,9.0,2022-01-01,2023-01-01
graham potter,Q5593150,Q18747,11.0,11.0,2025-01-09,2025-09-27
graham potter,Q5593150,Q160826,11.0,,2025-10-20,
marco giampaolo,Q2704759,Q1457,11.0,11.0,2016-07-04,2019-06-19
marco giampaolo,Q2704759,Q6703,11.0,11.0,2015-06-15,2016-06-30
marco giampaolo,Q2704759,Q759482,11.0,11.0,2014-11-17,2015-06-14
marco giampaolo,Q2704759,Q6651,11.0,11.0,2013-07-02,2013-09-24
marco giampaolo,Q2704759,Q6664,11.0,11.0,2011-06-04,2011-10-30
marco giampaolo,Q2704759,Q2018,11.0,11.0,2010-05-30,2011-01-18
marco giampaolo,Q2704759,Q2756,11.0,11.0,2008-07-01,2009-10-29
marco giampaolo,Q2704759,Q1900,11.0,11.0,2007-02-26,2007-11-13
marco giampaolo,Q2704759,Q1900,11.0,11.0,2006-07-01,2006-12-17
marco giampaolo,Q2704759,Q6630,11.0,11.0,2004-07-01,2005-06-30
marco giampaolo,Q2704759,Q1543,11.0,11.0,2019-06-19,2019-10-08
marco giampaolo,Q2704759,Q2768,11.0,11.0,2020-08-07,2021-01-18
marco giampaolo,Q2704759,Q1457,11.0,11.0,2022-01-19,2022-10-02
marco giampaolo,Q2704759,Q13391,11.0,11.0,2024-11-11,2025-06-26
pellegrino matarazzo,Q80310717,Q22707,11.0,11.0,2023-02-08,2024-11-11
gennaro gattuso,Q116980,Q1543,11.0,11.0,2017-11-27,2019-05-28
gennaro gattuso,Q116980,Q3299830,11.0,11.0,2017-07-01,2017-11-27
gennaro gattuso,Q116980,Q289613,11.0,11.0,2016-09-02,2017-06-30
gennaro gattuso,Q116980,Q289613,11.0,11.0,2015-08-20,2016-07-31
gennaro gattuso,Q116980,Q931704,11.0,11.0,2014-07-01,2014-12-30
gennaro gattuso,Q116980,Q2674,11.0,11.0,2013-06-19,2013-09-25
gennaro gattuso,Q116980,Q2641,11.0,11.0,2019-12-11,2021-05-23
gennaro gattuso,Q116980,Q10333,11.0,11.0,2022-06-09,2023-01-30
gennaro gattuso,Q116980,Q132885,11.0,11.0,2023-09-27,2024-02-19
gennaro gattuso,Q116980,Q181216,11.0,11.0,2024-06-12,2025-06-05
gennaro gattuso,Q116980,Q676899,11.0,11.0,2025-06-15,2026-04-03
gennaro gattuso,Q116980,Q2609,11.0,,2026-06-23,
brendan rodgers,Q310623,Q2714,11.0,11.0,2008-11-24,2009-06-05
brendan rodgers,Q310623,Q18729,11.0,11.0,2009-06-05,2009-12-16
brendan rodgers,Q310623,Q18659,11.0,11.0,2010-07-16,2012-06-01
brendan rodgers,Q310623,Q1130849,11.0,11.0,2012-06-01,2015-10-04
brendan rodgers,Q310623,Q19593,11.0,10.0,2016-05-20,2019-02-01
brendan rodgers,Q310623,Q19481,10.0,11.0,2019-02-01,2023-04-02
brendan rodgers,Q310623,Q19593,11.0,11.0,2023-06-19,2025-10-28
brendan rodgers,Q310623,Q286191,11.0,,2025-12-17,
claude puel,Q128898,Q180305,11.0,11.0,1999-01-13,2001-06-30
claude puel,Q128898,Q19516,11.0,11.0,2002-07-01,2008-06-17
claude puel,Q128898,Q704,11.0,11.0,2008-06-18,2011-06-20
claude puel,Q128898,Q185163,11.0,11.0,2012-05-23,2016-05-24
claude puel,Q128898,Q18732,11.0,11.0,2016-06-30,2017-06-14
claude puel,Q128898,Q19481,11.0,11.0,2017-10-25,2019-02-24
claude puel,Q128898,Q19521,11.0,11.0,2019-10-04,2021-12-05
claude puel,Q128898,Q185163,11.0,11.0,2025-12-29,2026-06-17
thiago motta,Q191885,Q2074,11.0,11.0,2019-10-22,2019-12-28
thiago motta,Q191885,Q8615,11.0,11.0,2021-07-08,2022-06-28
thiago motta,Q191885,Q1893,11.0,11.0,2022-09-12,2024-05-24
thiago motta,Q191885,Q1422,11.0,11.0,2024-07-01,2025-03-23
rudi garcia,Q923131,Q132885,11.0,11.0,2016-10-20,2019-06-30
rudi garcia,Q923131,Q2739,11.0,11.0,2013-07-01,2016-01-13
rudi garcia,Q923131,Q19516,11.0,11.0,2008-07-01,2013-06-30
rudi garcia,Q923131,Q210864,11.0,11.0,2007-07-01,2008-06-30
rudi garcia,Q923131,Q503317,11.0,11.0,2002-07-01,2007-06-30
rudi garcia,Q923131,Q19521,11.0,11.0,2001-01-05,2001-06-30
rudi garcia,Q923131,Q298285,11.0,11.0,1996-07-01,1998-06-30
rudi garcia,Q923131,Q704,11.0,11.0,2019-10-14,2021-06-30
rudi garcia,Q923131,Q482764,11.0,11.0,2022-06-29,2023-06-15
rudi garcia,Q923131,Q2641,11.0,11.0,2023-06-15,2023-11-14
rudi garcia,Q923131,Q166776,11.0,11.0,2025-01-24,2026-07-20
sinisa mihajlovic,Q294351,Q1893,11.0,,2019-01-28,
sinisa mihajlovic,Q294351,Q75729,11.0,11.0,2018-06-18,2018-06-27
sinisa mihajlovic,Q294351,Q2768,11.0,11.0,2016-05-25,2018-01-04
sinisa mihajlovic,Q294351,Q1543,11.0,11.0,2015-06-16,2016-04-12
sinisa mihajlovic,Q294351,Q1457,11.0,11.0,2013-11-20,2015-06-11
sinisa mihajlovic,Q294351,Q182740,11.0,11.0,2012-05-21,2013-11-20
sinisa mihajlovic,Q294351,Q2052,11.0,11.0,2010-06-04,2011-11-07
sinisa mihajlovic,Q294351,Q2018,11.0,11.0,2009-12-08,2010-05-24
sinisa mihajlovic,Q294351,Q1893,11.0,11.0,2008-11-03,2009-04-14
peter bosz,Q1029982,Q81888,11.0,11.0,2016-07-01,2017-06-06
peter bosz,Q1029982,Q704,11.0,11.0,2021-05-29,2022-10-09
peter bosz,Q1029982,Q11938,11.0,,2023-07-01,
quique sanchez flores,Q352313,Q8806,11.0,11.0,2004-07-08,2005-05-31
quique sanchez flores,Q352313,Q10333,11.0,11.0,2005-05-31,2007-10-29
quique sanchez flores,Q352313,Q131499,11.0,11.0,2008-05-24,2009-06-08
quique sanchez flores,Q352313,Q8701,11.0,11.0,2009-10-23,2011-05-22
quique sanchez flores,Q352313,Q424943,11.0,11.0,2011-11-08,2013-06-11
quique sanchez flores,Q352313,Q812720,11.0,11.0,2013-09-28,2014-03-08
quique sanchez flores,Q352313,Q8806,11.0,11.0,2015-01-05,2015-02-26
quique sanchez flores,Q352313,Q2714,11.0,11.0,2015-06-05,2016-05-16
quique sanchez flores,Q352313,Q8780,11.0,11.0,2016-06-09,2018-04-20
quique sanchez flores,Q352313,Q725367,11.0,11.0,2018-12-25,2019-07-03
quique sanchez flores,Q352313,Q2714,11.0,11.0,2019-09-07,2019-12-01
quique sanchez flores,Q352313,Q8806,11.0,11.0,2021-10-06,2023-04-27
quique sanchez flores,Q352313,Q10329,11.0,11.0,2023-12-18,2024-06-30
raffaele palladino,Q282551,Q289482,9.0,9.0,2022-01-01,2024-01-01
raffaele palladino,Q282551,Q2052,11.0,,2024-06-03,
raffaele palladino,Q282551,Q631,11.0,,2025-06-06,
hansi flick,Q577384,Q1279534,9.0,9.0,1996-01-01,2000-01-01
hansi flick,Q577384,Q22707,9.0,9.0,2000-01-01,2005-01-01
hansi flick,Q577384,Q15789,9.0,9.0,2019-01-01,2021-01-01
hansi flick,Q577384,Q43310,9.0,9.0,2021-01-01,2023-01-01
hansi flick,Q577384,Q7156,11.0,,2024-05-29,
lucien favre,Q539920,Q185163,11.0,,2022-07-01,
leonardo semplici,Q26696437,Q13385,11.0,11.0,2014-12-08,2020-02-10
leonardo semplici,Q26696437,Q289613,11.0,11.0,2010-11-30,2011-02-21
igor tudor,Q276544,Q2798,11.0,11.0,2019-03-20,2019-11-01
igor tudor,Q276544,Q132885,11.0,11.0,2022-07-04,2023-06-01
igor tudor,Q276544,Q181216,11.0,11.0,2013-04-29,2015-02-04
igor tudor,Q276544,Q204888,11.0,11.0,2015-06-18,2016-03-09
igor tudor,Q276544,Q301332,11.0,11.0,2016-06-18,2017-02-15
igor tudor,Q276544,Q495299,11.0,11.0,2017-02-15,2017-12-18
igor tudor,Q276544,Q2798,11.0,11.0,2018-04-24,2018-06-07
igor tudor,Q276544,Q181216,11.0,11.0,2020-01-02,2020-08-21
igor tudor,Q276544,Q8639,11.0,11.0,2021-09-14,2022-05-28
igor tudor,Q276544,Q2609,11.0,11.0,2024-03-18,2024-06-05
igor tudor,Q276544,Q1422,11.0,11.0,2025-03-23,2025-10-27
igor tudor,Q276544,Q18741,11.0,11.0,2026-02-14,2026-03-29
jean louis gasset,Q2732465,Q19513,9.0,9.0,1991-01-01,1998-01-01
jean louis gasset,Q2732465,Q19513,9.0,9.0,1998-01-01,1999-01-01
jean louis gasset,Q2732465,Q193377,9.0,9.0,2000-01-01,2001-01-01
jean louis gasset,Q2732465,Q483020,9.0,9.0,2001-01-01,2003-01-01
jean louis gasset,Q2732465,Q8780,9.0,9.0,2003-01-01,2004-01-01
jean louis gasset,Q2732465,Q797530,9.0,9.0,2005-01-01,2006-01-01
jean louis gasset,Q2732465,Q47774,9.0,9.0,2010-01-01,2012-01-01
jean louis gasset,Q2732465,Q172476,9.0,9.0,2007-01-01,2010-01-01
jean louis gasset,Q2732465,Q483020,9.0,9.0,2013-01-01,2016-01-01
jean louis gasset,Q2732465,Q19513,9.0,9.0,2017-01-01,2017-01-01
jean louis gasset,Q2732465,Q19521,9.0,9.0,2017-01-01,2017-01-01
jean louis gasset,Q2732465,Q19521,9.0,9.0,2017-01-01,2019-01-01
jean louis gasset,Q2732465,Q172476,9.0,9.0,2020-01-01,2021-01-01
jean louis gasset,Q2732465,Q175145,9.0,9.0,2022-01-01,2024-01-01
jean louis gasset,Q2732465,Q132885,10.0,10.0,2024-02-01,2024-06-01
jean louis gasset,Q2732465,Q19513,11.0,11.0,2024-10-22,2025-04-07
luca gotti,Q3838152,Q2798,11.0,,2019-11-01,
quique setien,Q2444534,Q8723,9.0,9.0,2017-01-01,2019-01-01
quique setien,Q2444534,Q11979,9.0,9.0,2015-01-01,2017-01-01
quique setien,Q2444534,Q11984,9.0,9.0,2009-01-01,2015-01-01
quique setien,Q2444534,Q657865,9.0,9.0,2007-01-01,2008-01-01
quique setien,Q2444534,Q518166,9.0,9.0,2003-01-01,2003-01-01
quique setien,Q2444534,Q12236,9.0,9.0,2001-01-01,2002-01-01
quique setien,Q2444534,Q255771,9.0,9.0,2006-01-01,2006-01-01
quique setien,Q2444534,Q7156,9.0,9.0,2020-01-01,2020-01-01
quique setien,Q2444534,Q12297,9.0,9.0,2022-01-01,2023-01-01
zinedine zidane,Q1835,Q8682,11.0,11.0,2016-10-01,2018-05-31
zinedine zidane,Q1835,Q8682,11.0,11.0,2019-03-11,2021-05-27
zinedine zidane,Q1835,Q12217,9.0,9.0,2014-01-01,2016-01-01
zinedine zidane,Q1835,Q47774,11.0,,2026-07-28,
walter mazzarri,Q370838,Q2768,11.0,11.0,2018-01-04,2020-02-04
walter mazzarri,Q370838,Q2714,11.0,11.0,2016-07-01,2017-05-22
walter mazzarri,Q370838,Q631,11.0,11.0,2013-05-24,2014-11-14
walter mazzarri,Q370838,Q2641,11.0,11.0,2009-10-06,2013-05-20
walter mazzarri,Q370838,Q1457,11.0,11.0,2007-07-01,2009-06-30
walter mazzarri,Q370838,Q8476,11.0,11.0,2004-07-01,2007-05-28
walter mazzarri,Q370838,Q6767,11.0,11.0,2003-07-01,2004-06-30
walter mazzarri,Q370838,Q1279917,11.0,11.0,2002-07-01,2003-06-30
walter mazzarri,Q370838,Q1052365,11.0,11.0,2001-07-01,2002-06-30
walter mazzarri,Q370838,Q1900,11.0,11.0,2021-09-15,2022-05-02
walter mazzarri,Q370838,Q2641,11.0,11.0,2023-11-14,2024-02-19
rafael benitez,Q144048,Q9616,11.0,11.0,2012-11-21,2013-05-27
rafael benitez,Q144048,Q18716,11.0,11.0,2016-03-11,2019-06-30
rafael benitez,Q144048,Q1157920,11.0,11.0,2019-07-02,2021-01-23
rafael benitez,Q144048,Q1130849,11.0,11.0,2004-06-16,2010-06-03
rafael benitez,Q144048,Q6101985,9.0,9.0,1986-01-01,1993-01-01
rafael benitez,Q144048,Q12217,9.0,9.0,1993-01-01,1994-01-01
rafael benitez,Q144048,Q12217,9.0,9.0,1994-01-01,1995-01-01
rafael benitez,Q144048,Q10319,9.0,9.0,1995-01-01,1996-01-01
rafael benitez,Q144048,Q10286,9.0,9.0,1996-01-01,1996-01-01
rafael benitez,Q144048,Q994224,9.0,9.0,1997-01-01,1999-01-01
rafael benitez,Q144048,Q216661,9.0,9.0,2000-01-01,2001-01-01
rafael benitez,Q144048,Q10333,9.0,11.0,2001-01-01,2004-06-01
rafael benitez,Q144048,Q631,11.0,11.0,2010-06-10,2010-12-23
rafael benitez,Q144048,Q2641,11.0,10.0,2013-05-27,2015-06-01
rafael benitez,Q144048,Q8682,11.0,11.0,2015-06-03,2016-01-04
rafael benitez,Q144048,Q5794,11.0,11.0,2021-06-30,2022-01-16
rafael benitez,Q144048,Q8749,11.0,11.0,2023-06-23,2024-03-12
rafael benitez,Q144048,Q4122219,11.0,,2025-10-24,
daniel farke,Q30015253,Q325014,9.0,9.0,2009-01-01,2015-01-01
daniel farke,Q30015253,Q865720,9.0,9.0,2015-01-01,2017-01-01
daniel farke,Q30015253,Q18721,9.0,9.0,2017-01-01,2021-01-01
daniel farke,Q30015253,Q101959,9.0,9.0,2022-01-01,2023-01-01
daniel farke,Q30015253,Q1128631,9.0,,2023-01-01,
vicente moreno,Q3321444,Q12308,9.0,9.0,2011-01-01,2012-01-01
vicente moreno,Q3321444,Q10407,11.0,11.0,2023-06-17,2023-09-27
vicente moreno,Q3321444,Q10286,11.0,,2024-05-27,
vicente moreno,Q3321444,Q2636005,11.0,11.0,2022-07-29,2023-06-30
xabi alonso,Q208104,Q1067750,9.0,9.0,2019-01-01,2022-01-01
xabi alonso,Q208104,Q104761,9.0,9.0,2022-01-01,2025-01-01
xabi alonso,Q208104,Q8682,11.0,11.0,2025-05-25,2026-01-12
xabi alonso,Q208104,Q9616,11.0,,2026-07-01,
gerardo seoane,Q339173,Q223262,9.0,9.0,2013-01-01,2013-01-01
gerardo seoane,Q339173,Q223262,9.0,9.0,2018-01-01,2018-01-01
gerardo seoane,Q339173,Q190526,9.0,9.0,2018-01-01,2021-01-01
gerardo seoane,Q339173,Q104761,9.0,9.0,2021-01-01,2022-01-01
gerardo seoane,Q339173,Q101959,9.0,,2023-01-01,
rolando maran,Q3940276,Q2037,9.0,9.0,2014-01-01,2018-01-01
rolando maran,Q3940276,Q289613,11.0,,2022-07-01,
rolando maran,Q3940276,Q6673,9.0,9.0,2002-01-01,2005-01-01
rolando maran,Q3940276,Q6651,9.0,9.0,2005-01-01,2006-01-01
rolando maran,Q3940276,Q6641,9.0,9.0,2006-01-01,2007-01-01
rolando maran,Q3940276,Q13381,9.0,9.0,2007-01-01,2009-01-01
rolando maran,Q3940276,Q56542463,9.0,9.0,2009-01-01,2011-01-01
rolando maran,Q3940276,Q8633,9.0,9.0,2011-01-01,2012-01-01
rolando maran,Q3940276,Q2018,9.0,9.0,2012-01-01,2014-01-01
rolando maran,Q3940276,Q1900,9.0,9.0,2018-01-01,2020-01-01
javier aguirre,Q194311,Q849949,11.0,11.0,1996-02-01,1996-06-30
javier aguirre,Q194311,Q736937,11.0,11.0,1998-09-10,2001-06-30
javier aguirre,Q194311,Q164089,11.0,11.0,2001-07-01,2002-06-30
javier aguirre,Q194311,Q10286,11.0,11.0,2002-07-01,2006-06-30
javier aguirre,Q194311,Q8701,11.0,11.0,2006-07-01,2009-02-02
javier aguirre,Q194311,Q164089,11.0,11.0,2009-04-04,2010-06-30
javier aguirre,Q194311,Q10308,11.0,11.0,2010-11-18,2011-12-30
javier aguirre,Q194311,Q8780,11.0,11.0,2012-12-01,2014-05-29
javier aguirre,Q194311,Q170566,11.0,11.0,2014-07-24,2015-02-02
javier aguirre,Q194311,Q283767,11.0,11.0,2015-07-01,2017-06-30
javier aguirre,Q194311,Q28089,11.0,11.0,2018-08-01,2019-07-07
javier aguirre,Q194311,Q856119,11.0,11.0,2019-11-04,2020-07-20
javier aguirre,Q194311,Q768253,11.0,11.0,2020-12-07,2022-02-26
javier aguirre,Q194311,Q8835,11.0,11.0,2022-03-24,2024-05-22
javier aguirre,Q194311,Q164089,11.0,11.0,2024-07-22,2026-07-05
regis le bris,Q3455749,Q48911,11.0,10.0,2022-06-27,2024-06-01
regis le bris,Q3455749,Q18739,11.0,,2024-06-22,
pascal gastien,Q3367427,Q870182,11.0,,2017-09-01,
ole gunnar solskjær,Q18976,Q18656,11.0,11.0,2018-12-19,2021-11-21
ole gunnar solskjær,Q18976,Q208552,11.0,11.0,2015-10-21,2018-12-18
ole gunnar solskjær,Q18976,Q18662,11.0,11.0,2014-01-02,2014-09-18
ole gunnar solskjær,Q18976,Q208552,11.0,11.0,2011-01-01,2013-12-31
ole gunnar solskjær,Q18976,Q2593147,11.0,11.0,2008-07-01,2010-12-31
ole gunnar solskjær,Q18976,Q172567,11.0,11.0,2025-01-17,2025-08-29
vincent kompany,Q201381,Q187528,10.0,10.0,2020-08-01,2022-05-01
vincent kompany,Q201381,Q19458,11.0,11.0,2022-06-14,2024-06-30
vincent kompany,Q201381,Q15789,11.0,,2024-07-01,
rubi,Q5573535,Q8723,,,,
sandro schwarz,Q1582732,Q310621,11.0,11.0,2009-07-01,2010-03-09
sandro schwarz,Q1582732,Q162220,11.0,11.0,2011-07-01,2013-06-30
sandro schwarz,Q1582732,Q62018651,11.0,11.0,2013-07-01,2015-02-16
sandro schwarz,Q1582732,Q16525419,11.0,11.0,2015-02-17,2017-06-30
sandro schwarz,Q1582732,Q105254,11.0,11.0,2017-07-01,2019-11-10
sandro schwarz,Q1582732,Q17497,11.0,11.0,2020-10-14,2022-05-29
sandro schwarz,Q1582732,Q102720,11.0,,2022-07-01,
sandro schwarz,Q1582732,Q204220,11.0,,2023-12-14,
gary o neil,Q731946,Q19500,9.0,9.0,2023-01-01,2024-01-01
gary o neil,Q731946,Q126334,11.0,,2026-01-07,
pablo machin,Q11697229,Q5010110,9.0,9.0,2000-01-01,2011-01-01
pablo machin,Q11697229,Q12158,9.0,9.0,2011-01-01,2013-01-01
pablo machin,Q11697229,Q11945,9.0,9.0,2014-01-01,2018-01-01
pablo machin,Q11697229,Q10329,9.0,9.0,2018-01-01,2019-01-01
pablo machin,Q11697229,Q8780,9.0,,2019-01-01,
frank lampard,Q41533,Q19470,9.0,9.0,2018-01-01,2019-01-01
frank lampard,Q41533,Q9616,9.0,9.0,2019-01-01,2021-01-01
frank lampard,Q41533,Q5794,11.0,11.0,2022-01-31,2023-01-23
frank lampard,Q41533,Q9616,11.0,10.0,2023-04-06,2023-06-01
frank lampard,Q41533,Q19580,11.0,,2024-11-28,
pal dardai,Q742429,Q102720,,,,
luis enrique,Q222789,Q42267,11.0,11.0,2018-07-09,2019-06-19
luis enrique,Q222789,Q7156,11.0,11.0,2014-07-01,2017-06-30
luis enrique,Q222789,Q8749,11.0,11.0,2013-07-01,2014-06-30
luis enrique,Q222789,Q2739,11.0,11.0,2011-07-01,2012-05-10
luis enrique,Q222789,Q10467,11.0,11.0,2008-07-01,2011-06-30
luis enrique,Q222789,Q42267,10.0,11.0,2019-11-01,2022-12-08
luis enrique,Q222789,Q483020,11.0,,2023-07-05,
davide ballardini,Q1024171,Q2609,9.0,9.0,2009-01-01,2010-01-01
davide ballardini,Q1024171,Q8603,11.0,11.0,2024-03-01,2024-06-03
dieter hecking,Q73135,Q666010,9.0,9.0,2000-01-01,2001-01-01
dieter hecking,Q73135,Q665920,9.0,9.0,2001-01-01,2004-01-01
dieter hecking,Q73135,Q153535,9.0,9.0,2004-01-01,2006-01-01
dieter hecking,Q73135,Q33748,9.0,9.0,2006-01-01,2009-01-01
dieter hecking,Q73135,Q15786,9.0,9.0,2009-01-01,2012-01-01
dieter hecking,Q73135,Q101859,9.0,9.0,2013-01-01,2016-01-01
dieter hecking,Q73135,Q101959,9.0,9.0,2017-01-01,2019-01-01
dieter hecking,Q73135,Q51974,9.0,9.0,2019-01-01,2020-01-01
javi gracia,Q4886441,Q849271,11.0,11.0,2007-03-20,2008-06-30
javi gracia,Q4886441,Q460448,11.0,11.0,2008-07-11,2010-01-09
javi gracia,Q4886441,Q1094113,11.0,11.0,2010-06-24,2011-05-12
javi gracia,Q4886441,Q1417164,11.0,11.0,2011-06-07,2011-08-24
javi gracia,Q4886441,Q21200167,11.0,11.0,2011-11-14,2012-03-28
javi gracia,Q4886441,Q10407,11.0,11.0,2012-06-12,2013-06-28
javi gracia,Q4886441,Q10286,11.0,11.0,2013-09-04,2014-05-30
javi gracia,Q4886441,Q8857,11.0,11.0,2014-05-30,2016-05-24
javi gracia,Q4886441,Q170040,11.0,11.0,2016-05-27,2017-06-08
javi gracia,Q4886441,Q2714,11.0,11.0,2018-01-21,2019-09-07
javi gracia,Q4886441,Q10333,11.0,11.0,2020-07-27,2021-05-03
javi gracia,Q4886441,Q283545,11.0,11.0,2021-12-07,2022-06-18
javi gracia,Q4886441,Q1128631,11.0,11.0,2023-02-21,2023-05-03
javi gracia,Q4886441,Q2714,11.0,,2025-10-08,
alessio dionisi,Q65127311,Q3642591,,,,
alessio dionisi,Q65127311,Q1512790,,,,
alessio dionisi,Q65127311,Q3149156,,,,
alessio dionisi,Q65127311,Q501245,,,,
alessio dionisi,Q65127311,Q2674,,,,
alessio dionisi,Q65127311,Q6703,,,,
alessio dionisi,Q65127311,Q8603,,,,
david wagner,Q871069,Q19473,9.0,9.0,2015-01-01,2019-01-01
mauricio pellegrino,Q313131,Q18732,,,,
will still,Q42097340,Q725018,9.0,9.0,2017-01-01,2017-01-01
will still,Q42097340,Q685182,9.0,9.0,2021-01-01,2021-01-01
will still,Q42097340,Q208228,9.0,9.0,2022-01-01,2024-01-01
will still,Q42097340,Q191843,9.0,9.0,2024-01-01,2025-01-01
will still,Q42097340,Q18732,9.0,9.0,2025-01-01,2025-01-01
will still,Q42097340,Q182876,9.0,,2026-01-01,
heiko herrlich,Q677546,Q319699,11.0,11.0,2007-07-01,2008-06-30
heiko herrlich,Q677546,Q324854,11.0,11.0,2008-07-01,2009-10-27
heiko herrlich,Q677546,Q105861,11.0,11.0,2009-10-27,2010-04-29
heiko herrlich,Q677546,Q158121,11.0,11.0,2011-07-01,2012-06-30
heiko herrlich,Q677546,Q265570,11.0,11.0,2016-01-01,2017-06-30
heiko herrlich,Q677546,Q104761,11.0,11.0,2017-07-01,2018-12-23
heiko herrlich,Q677546,Q15755,11.0,,2020-03-10,
edin terzic,Q61709977,Q41420,11.0,11.0,2020-12-13,2021-05-31
edin terzic,Q61709977,Q172567,,,,
edin terzic,Q61709977,Q18747,,,,
edin terzic,Q61709977,Q41420,9.0,10.0,2022-01-01,2024-06-01
edin terzic,Q61709977,Q8687,9.0,,2026-01-01,
chris wilder,Q5108471,Q1571078,11.0,11.0,2002-07-02,2008-06-30
chris wilder,Q5108471,Q48946,11.0,11.0,2008-12-21,2014-01-26
chris wilder,Q5108471,Q48945,11.0,11.0,2014-01-27,2016-05-12
chris wilder,Q5108471,Q19607,11.0,11.0,2016-05-12,2021-03-13
chris wilder,Q5108471,Q18661,11.0,11.0,2021-11-07,2022-10-03
chris wilder,Q5108471,Q2714,11.0,11.0,2023-03-07,2023-05-10
chris wilder,Q5108471,Q19607,11.0,,2023-12-05,
erik ten hag,Q2844569,Q749589,9.0,9.0,2012-01-01,2013-01-01
erik ten hag,Q2844569,Q994701,9.0,9.0,2013-01-01,2015-01-01
erik ten hag,Q2844569,Q24680,9.0,9.0,2015-01-01,2017-01-01
erik ten hag,Q2844569,Q81888,9.0,9.0,2018-01-01,2022-01-01
erik ten hag,Q2844569,Q18656,9.0,9.0,2022-01-01,2024-01-01
erik ten hag,Q2844569,Q104761,11.0,11.0,2025-07-01,2025-09-01
scott parker,Q213989,Q18708,9.0,9.0,2019-01-01,2021-01-01
scott parker,Q213989,Q19568,9.0,9.0,2021-01-01,2022-01-01
scott parker,Q213989,Q190916,9.0,9.0,2022-01-01,2023-01-01
scott parker,Q213989,Q19458,9.0,,2024-01-01,
frederic antonetti,Q128824,Q208399,11.0,11.0,1994-10-02,1998-05-13
frederic antonetti,Q128824,Q126334,11.0,,2023-02-13,
frederic antonetti,Q128824,Q221525,11.0,11.0,2018-05-24,2018-12-17
frederic antonetti,Q128824,Q738423,11.0,11.0,1998-05-14,1999-06-01
frederic antonetti,Q128824,Q208399,11.0,11.0,1999-07-01,2001-05-31
frederic antonetti,Q128824,Q19521,11.0,11.0,2001-10-09,2004-06-02
frederic antonetti,Q128824,Q185163,11.0,11.0,2005-06-01,2009-06-02
frederic antonetti,Q128824,Q19509,11.0,11.0,2009-06-02,2013-07-01
frederic antonetti,Q128824,Q19516,11.0,11.0,2015-11-22,2016-11-22
frederic antonetti,Q128824,Q221525,11.0,11.0,2020-10-12,2022-06-09
domenico tedesco,Q28916689,Q141882,11.0,11.0,2017-03-08,2017-06-09
domenico tedesco,Q28916689,Q32494,11.0,11.0,2017-06-09,2019-03-14
domenico tedesco,Q28916689,Q29112,11.0,11.0,2019-10-14,2021-05-24
domenico tedesco,Q28916689,Q702455,11.0,11.0,2021-12-09,2022-09-07
domenico tedesco,Q28916689,Q166776,11.0,11.0,2023-02-08,2025-01-17
domenico tedesco,Q28916689,Q1893,9.0,,2026-01-01,
steve bruce,Q331904,Q18716,11.0,11.0,2019-07-17,2022-06-30
steve bruce,Q331904,Q19607,11.0,11.0,1998-07-02,1999-05-17
steve bruce,Q331904,Q19473,11.0,11.0,1999-05-24,2000-10-16
steve bruce,Q331904,Q19498,11.0,11.0,2019-02-01,2019-07-16
steve bruce,Q331904,Q18711,11.0,11.0,2016-10-12,2018-10-03
steve bruce,Q331904,Q19477,11.0,11.0,2012-07-01,2016-07-22
steve bruce,Q331904,Q18739,11.0,11.0,2009-07-01,2011-11-30
steve bruce,Q331904,Q18750,11.0,11.0,2007-11-19,2009-06-30
steve bruce,Q331904,Q19444,11.0,11.0,2001-12-12,2007-11-19
steve bruce,Q331904,Q19467,11.0,11.0,2001-06-01,2001-11-02
steve bruce,Q331904,Q18750,11.0,11.0,2001-03-02,2001-05-29
steve bruce,Q331904,Q18744,11.0,11.0,2022-02-03,2022-10-10
steve bruce,Q331904,Q19449,11.0,11.0,2024-09-03,2025-10-04
aurelio andreazzoli,Q4734615,Q2074,10.0,11.0,2019-06-01,2019-10-21
bruno labbadia,Q57548,Q479351,11.0,11.0,2003-07-01,2006-06-30
bruno labbadia,Q57548,Q153539,11.0,11.0,2007-07-01,2008-06-30
bruno labbadia,Q57548,Q104761,11.0,11.0,2008-07-01,2009-06-30
bruno labbadia,Q57548,Q51974,11.0,11.0,2009-07-01,2010-04-26
