priorita,club,allenatore,nostro_da,nostro_a,partite,ruolo,in_carica,confidenza,refutazione,verdetto,nota_breve,fonte
1,UC Sampdoria,Felice Tufano,2022-01-18,2022-01-18,1,traghettatore,Felice Tufano (traghettatore; club senza titolare fra Roberto D'Aversa e Marco Giampaolo),alta,non_controllato,nome_diverso,"Allenatore della Primavera blucerchiata, dirige l'allenamento e la sola Juventus-Sampdoria di Coppa Italia del",https://gianlucadimarzio.com/it/sampdoria-tufano-coppa-italia-news-17-gennaio-2022 | https://www.sampdoria.it/en/match/coppa-italia-2021-2022-juventus-sampdoria-2/ | https://www.tuttomercatoweb.com/serie-a/live-tmw-sampdoria-tufano-ringrazio-la-societa-per-questa-magnifica-serata-1635147
1,Olympique Lyon,Jorge Maciel,2025-01-30,2025-01-30,1,traghettatore,Jorge Maciel (traghettatore; club senza titolare fra Pierre Sage e Paulo Fonseca),alta,non_controllato,nome_diverso,"Vice-allenatore portoghese dell'OL, tiene conferenza e panchina nella sola OL-Ludogorets di Europa League del ","https://www.eurosport.fr/football/ligue-1/2024-2025/ligue-1-qui-est-jorge-maciel-ladjoint-numero-un-de-lyon-malgre-lui_sto20191569/story.shtml | https://www.footboom1.com/en/news/football/2338914-jorge-maciel-to-take-charge-as-interim-coach-for-ol-against-ludogorets | https://www.olympique-et-lyonnais.com/maciel-apres-ol-ludogorets-1-1-se-remettre-a-la-dimension-du-club,350913.html"
1,ESTAC Troyes,Claude Robin,2022-11-13,2022-11-13,1,traghettatore,Claude Robin (traghettatore; club senza titolare fra Bruno Irles e Patrick Kisnorbo),alta,non_controllato,nome_diverso,"Irles sospeso/esonerato l'08/11/2022; la societa' affida l'interim a Claude Robin, che guida la sola Troyes-Br",https://www.foot-sur7.fr/478787-estac-bruno-irles-depart-troyes | https://www.jeunesfooteux.com/Ligue-1-Bruno-Irles-Troyes-mis-a-pied-par-l-ESTAC_a59619.html | https://en.wikipedia.org/wiki/2022%E2%80%9323_ES_Troyes_AC_season
1,Deportivo Alavés,Javier Cabello,2017-09-20,2017-09-20,1,traghettatore,Javier Cabello,alta,non_controllato,assente_da_wikidata,Nominato interino il 17/09/2017 dopo l'uscita di Zubeldia; il 20/09 fu il suo debutto in Liga (0-1 col Deporti,https://es.wikipedia.org/wiki/Javier_Antonio_Cabello_Rubio | https://es.wikipedia.org/wiki/Luis_Zubeld%C3%ADa | https://es.wikipedia.org/wiki/Gianni_De_Biasi
1,Deportivo Alavés,Javier Cabello,2017-11-30,2017-11-30,1,traghettatore,Javier Cabello,media,non_controllato,assente_da_wikidata,De Biasi esonerato il 27/11/2017 e Abelardo firmato l'1/12/2017: la gara del 30/11 (Copa del Rey) cade nel vuo,https://es.wikipedia.org/wiki/Gianni_De_Biasi | https://es.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez | https://es.wikipedia.org/wiki/Javier_Antonio_Cabello_Rubio
1,Huddersfield Town,Mark Hudson,2019-01-20,2019-01-20,1,traghettatore,Mark Hudson (traghettatore; club senza titolare fra David Wagner e Jan Siewert),alta,non_controllato,nome_diverso,Allenatore dell'Under 23 promosso caretaker dopo l'addio consensuale di Wagner: unica gara il 20/01/2019 in ca,https://www.skysports.com/football/news/11740/11610733/david-wagner-deserves-full-respect-at-huddersfield-says-caretaker-boss-mark-hudson | https://www.examinerlive.co.uk/sport/football/huddersfield-town-manager-mark-hudson-20673006 | https://en.wikipedia.org/wiki/2018%E2%80%9319_Huddersfield_Town_A.F.C._season
1,Brighton & Hove Albion,Björn Hamberg,2022-01-23,2022-01-23,1,vice,Graham Potter,alta,non_controllato,nome_diverso,Potter e il vice Billy Reid positivi al Covid e in isolamento: il first-team coach Hamberg va in panchina per ,https://www.vavel.com/en/football/2022/01/24/brighton-hove-albion/1099429-coach-hamberg-pays-tribute-to-players-after-securing-draw-in-the-absence-of-graham-potter.html | https://www.sportsmole.co.uk/football/brighton-and-hove-albion/injury-news/news/brighton-boss-graham-potter-tests-positive-for-covid-19_476037.html
1,1. Fußballclub Heidenheim 1846,Bernhard Raab,2024-05-18,2024-05-18,1,vice,Frank Schmidt,alta,non_controllato,nome_diverso,Schmidt assente all'ultima giornata 2023-24 (Heidenheim-Colonia del 18/05/2024) per un'operazione alla cavigli,https://www.t-online.de/sport/fussball/bundesliga/id_100404416/bundesliga-heidenheim-trainer-frank-schmidt-verpasst-letztes-saisonspiel.html | https://www.hz.de/sport/1-fc-heidenheim/trainer-des-1-fc-heidenheim-so-gehts-trainer-frank-schmidt-nach-seiner-operation | https://www.ligainsider.de/frank-schmidt_7574/heidenheim-coach-frank-schmidt-fehlt-am-letzten-spieltag-357465/
1,Spezia Calcio,Fabrizio Lorieri,2023-02-19,2023-02-19,1,traghettatore,Fabrizio Lorieri (ad interim),alta,non_controllato,nome_diverso,"Gotti esonerato il 15/2/2023: il suo vice Lorieri guida lo Spezia nella sola gara con la Juventus del 19/2, po",https://telenord.it/spezia-gotti-esonerato-lorieri-traghettatore-poi-arriva-semplici-54108 | https://sport.sky.it/calcio/serie-a/2023/02/15/spezia-gotti-esonero-semplici | https://gianlucadimarzio.com/fabrizio-lorieri-allenatore-spezia-chi-e/
1,US Sassuolo,Emiliano Bigica,2024-02-28,2024-02-28,1,traghettatore,Emiliano Bigica,alta,non_controllato,nome_diverso,"Dopo l'esonero ufficiale di Dionisi (25/02/2024) il Sassuolo affida ad interim la prima squadra a Bigica, alle",https://www.ansa.it/emiliaromagna/notizie/2024/02/25/ufficiale-lesonero-di-dionisi-il-sassuolo-per-ora-a-bigica_9dc60ba2-06ce-4048-9390-aa72ce02e5fe.html | https://en.wikipedia.org/wiki/Emiliano_Bigica | https://en.wikipedia.org/wiki/2023%E2%80%9324_US_Sassuolo_Calcio_season
1,RB Leipzig,Alexander Zickler,2024-09-14,2024-09-14,1,vice,Marco Rose,alta,non_controllato,nome_diverso,"Rose, espulso per giallo-rosso a Leverkusen (2a giornata, 31/08/2024), scontava un turno di Innenraumverbot co",https://sport.sky.de/fussball/artikel/rose-svensson-nicht-an-der-seitenlinie-bei-leipzig-gegen-union/13214411/33896 | https://www.sport.de/news/ne6565721/trainer-diskussion-bei-rb-leipzig-wer-ersetzt-marco-rose/ | https://www.sport1.de/news/fussball/bundesliga/2024/08/wegen-meckerns-rose-kassiert-gelb-rot
2,FC Girondins Bordeaux,Eric Bedouet,2018-12-02,2019-03-09,15,vice,"Éric Bedouet — entraîneur titolare della licenza sotto il manager général Ricardo Gomes fino al 26/02/2019, poi traghettatore pieno fino al 09/03/2019",media,corretto,nome_diverso,"Ricardo Gomes, manager generale dal 05/09/2018, guidava la squadra ma senza BEPF non poteva essere tesserato: ",https://fr.wikipedia.org/wiki/%C3%89ric_Bedouet | https://fr.wikipedia.org/wiki/Ricardo_Gomes | https://en.wikipedia.org/wiki/2018%E2%80%9319_FC_Girondins_de_Bordeaux_season
2,FC Girondins Bordeaux,Eric Bedouet,2018-08-19,2018-09-29,10,traghettatore,"Éric Bédouet in panchina per tutte e 10 le gare, ma dal 5/9/2018 con Ricardo Gomes manager général — le fonti divergono su chi contare",media,corretto,nome_diverso,Bédouet prese la panchina ad interim dopo la sospensione/esonero di Poyet (17/8/2018) e vi restò per tutta la ,https://fr.wikipedia.org/wiki/Ricardo_Gomes | https://fr.wikipedia.org/wiki/%C3%89ric_Bedouet | https://en.wikipedia.org/wiki/2018%E2%80%9319_FC_Girondins_de_Bordeaux_season
2,Deportivo Alavés,Juan Muñiz,2020-07-10,2020-07-19,4,titolare,Juan Ramón López Muñiz (ad interim / fino a fine stagione),media,corretto,nome_diverso,Wikidata è incompleta: dopo l'esonero di Garitano (05/07/2020) l'Alavés ingaggia dall'esterno Juan Ramón López,https://en.wikipedia.org/wiki/2019%E2%80%9320_Deportivo_Alav%C3%A9s_season | https://www.infobae.com/america/agencias/2020/07/05/el-alaves-cambia-de-entrenador-muniz-por-garitano/ | https://es.wikipedia.org/wiki/Juan_Ram%C3%B3n_L%C3%B3pez_Mu%C3%B1iz
3,1.FC Nuremberg,Boris Schommers,2019-02-18,2019-05-18,13,traghettatore,Boris Schommers,alta,regge,nome_diverso,Schommers guidò il Norimberga come traghettatore dopo l'esonero di Köllner (12/2/2019) fino all'ultima giornat,https://en.wikipedia.org/wiki/Boris_Schommers | https://en.wikipedia.org/wiki/2018%E2%80%9319_1._FC_N%C3%BCrnberg_season | https://de.wikipedia.org/wiki/Damir_Canadi
3,Everton FC,David Unsworth,2017-10-29,2017-11-29,7,traghettatore,David Unsworth (traghettatore; l'Everton era senza allenatore titolare fra Koeman e Allardyce),alta,regge,nome_diverso,"Unsworth guidò davvero quelle partite, ma da caretaker dopo l'esonero di Koeman (23/10/2017) fino al 29/11/201",https://en.wikipedia.org/wiki/2017%E2%80%9318_Everton_F.C._season | https://www.si.com/soccer/2017/11/30/outgoing-everton-caretaker-david-unsworth-praises-toffees-after-smashing-4-past-sorry-west-ham | https://feeds.bbci.co.uk/sport/football/41880892
3,Bologna Football Club 1909,Miroslav Tanjga,2019-10-27,2019-12-01,6,vice,Sinisa Mihajlovic,alta,regge,nome_diverso,Tanjga era il vice: Mihajlovic resto ufficialmente allenatore in carica mentre era ricoverato al Sant'Orsola (,https://it.wikipedia.org/wiki/Bologna_Football_Club_1909_2019-2020 | https://tg24.sky.it/sport/2022/12/16/mihajlovic-malattia-tappe | https://en.wikipedia.org/wiki/Miroslav_Tanjga
3,Valencia CF,Voro,2020-07-01,2020-07-19,6,traghettatore,Voro (Salvador Gonzalez Marco),alta,regge,nome_diverso,Stessa persona: Voro e il soprannome di Salvador Gonzalez Marco; traghettatore per le ultime 6 giornate dopo l,https://en.wikipedia.org/wiki/Voro_(footballer) | https://www.elespanol.com/deportes/futbol/20200629/valencia-destituye-albert-celades-boro-sustituto-provisional/501451008_0.html
3,LOSC Lille,Fernando Da Cruz,2017-11-25,2017-12-20,6,traghettatore,Fernando Da Cruz,alta,regge,nome_diverso,"Sospeso Bielsa il 22/11/2017 (contratto risolto il 15/12), il LOSC affido la squadra a una cellula tecnica ad ",https://fr.wikipedia.org/wiki/Fernando_Da_Cruz | https://www.espn.com/soccer/story/_/id/37539204/lille-appoint-interim-four-man-coaching-team-marcelo-bielsa-sacked | https://en.wikipedia.org/wiki/2017%E2%80%9318_Lille_OSC_season
3,FC Girondins Bordeaux,Eric Bedouet,2018-10-07,2018-11-03,5,vice,Ricardo Gomes,alta,regge,nome_diverso,Ricardo Gomes era il manager in carica dal 05/09/2018 ma senza BEPF non poteva essere iscritto come allenatore,https://fr.wikipedia.org/wiki/%C3%89ric_Bedouet | https://en.wikipedia.org/wiki/2018%E2%80%9319_FC_Girondins_de_Bordeaux_season
3,Venezia FC,Andrea Soncin,2022-05-01,2022-05-22,5,traghettatore,Andrea Soncin,alta,regge,nome_diverso,Il Venezia esonero Zanetti il 27/04/2022 e nomino Soncin (allenatore della Primavera) allenatore ad interim pe,https://www.veneziafc.it/news/andrea-soncin-nominato-allenatore-ad-interim | https://en.wikipedia.org/wiki/2021%E2%80%9322_Venezia_FC_season
3,Arminia Bielefeld,Marco Kostmann,2022-04-23,2022-05-14,4,traghettatore,Marco Kostmann,alta,regge,nome_diverso,L'Arminia esonero Frank Kramer il 20/04/2022 e affido subito la squadra a Kostmann come Interimstrainer fino a,https://www.arminia.de/neues/schlagzeilen/detail/dsc-arminia-bielefeld-entbindet-kramer-von-seinen-aufgaben | https://en.wikipedia.org/wiki/2021%E2%80%9322_Arminia_Bielefeld_season | https://en.wikipedia.org/wiki/Marco_Kostmann
3,Eintracht Frankfurt,Dennis Schmitt,2026-01-21,2026-01-31,4,traghettatore,"Dennis Schmitt (ad interim, in coppia con Alexander Meier)",alta,regge,nome_diverso,Toppmöller esonerato il 18/01/2026; l'Eintracht affida la squadra ad interim al tecnico dell'U21 Dennis Schmit,https://en.wikipedia.org/wiki/2025%E2%80%9326_Eintracht_Frankfurt_season | https://www.kicker.de/eintracht-frankfurt-trennt-sich-von-trainer-toppmoeller-1184555/artikel | https://www.t-online.de/sport/fussball/bundesliga/id_101098422/eintracht-frankfurt-interimstrainer-dennis-schmitt-und-alex-meier-bleiben.html
3,UD Las Palmas,Paquito,2017-12-03,2017-12-20,4,traghettatore,"Paquito (Paquito Ortiz), traghettatore",alta,regge,nome_diverso,"Wikipedia registra «Paquito Ortiz (interim, from 30 November to 21 December)» fra l'esonero di Pako Ayestarán ",https://en.wikipedia.org/wiki/2017%E2%80%9318_UD_Las_Palmas_season | https://www.udlaspalmas.es/noticias/la-ud-las-palmas-destituye-a-pako-ayestaran | https://www.elespanol.com/elbernabeu/real-madrid/futbol/20171221/oficial-paco-jemez-nuevo-entrenador-palmas/271224057_0.html
3,FC Nantes,Patrick Collot,2020-12-13,2020-12-23,4,traghettatore,Patrick Collot (ad interim),alta,regge,nome_diverso,"Gourcuff sollevato l'08/12/2020: il vice Collot prende la squadra ad interim («caretaker, from 8 December»), u",https://en.wikipedia.org/wiki/2020%E2%80%9321_FC_Nantes_season | https://www.goal.com/fr/news/collot-assurera-linterim-a-nantes/1i6evbkra6knz1icvruerqfyav
3,Bologna Football Club 1909,Miroslav Tanjga,2019-09-15,2019-09-29,4,vice,Siniša Mihajlović,alta,regge,nome_diverso,"Mihajlović in chemioterapia (leucemia mieloide acuta): in panchina va il vice Tanjga con De Leo, ma Wikipedia ",https://it.wikipedia.org/wiki/Bologna_Football_Club_1909_2019-2020 | https://en.wikipedia.org/wiki/Miroslav_Tanjga | https://www.ilrestodelcarlino.it/bologna/sport/uno-staff-in-prima-linea-da-tanjga-a-de-leo-80517c0b
3,Valencia CF,Voro,2021-05-09,2021-05-22,4,traghettatore,Voro (Salvador González Marco),alta,regge,nome_diverso,"Stessa persona: «Voro» è il soprannome di Salvador González Marco, il nome anagrafico usato da Wikidata. Esone",https://www.valenciacf.com/en-official-statement-javi-gracia-2021-05-03 | https://en.wikipedia.org/wiki/Voro_(footballer) | https://www.canalsur.es/noticias/deportes/el-valencia-destituye-a-javi-gracia-y-voro-se-hara-cargo-del-equipo/1709739.html
3,Levante UD,Álvaro del Moral,2025-12-03,2025-12-20,4,traghettatore,Álvaro del Moral (ad interim; le agenzie citano anche Vicente Iborra nella coppia),alta,regge,nome_diverso,"Esonerato Calero il 30/11/2025, il Levante affida la squadra ad interim ad Álvaro del Moral (tecnico dell'Atlé",https://en.wikipedia.org/wiki/2025%E2%80%9326_Levante_UD_season | https://www.infobae.com/america/agencias/2025/11/30/el-levante-destituye-a-julian-calero-e-iborra-y-del-moral-toman-el-mando-de-manera-interina/ | https://en.wikipedia.org/wiki/%C3%81lvaro_del_Moral
3,Aston Villa,Aaron Danks,2022-10-23,2022-10-29,2,traghettatore,Aaron Danks,alta,regge,nome_diverso,"Danks, coach della prima squadra, fu traghettatore dopo l'esonero di Gerrard (20/10/2022) e diresse esattament",https://www.birminghamworld.uk/sport/football/aston-villa/who-is-aaron-danks-interim-aston-villa-head-coach-to-take-over-from-steven-gerrard-for-brentford-clash-3888796 | https://www.expressandstar.com/sport/football/aston-villa/2022/10/29/aaron-danks-waits-to-hear-aston-villa-fate/ | https://feeds.bbci.co.uk/sport/football/62775410
3,Real Sociedad,Ion Ansotegi,2025-12-16,2025-12-20,2,traghettatore,Ion Ansotegi,alta,regge,nome_diverso,"Ansotegi, tecnico del Sanse (Real Sociedad B), fu traghettatore dopo l'esonero di Sergio Francisco (14/12/2025",https://en.wikipedia.org/wiki/2025%E2%80%9326_Real_Sociedad_season | https://www.elgoldigital.com/futbol/real-sociedad/ion-ansotegi-entrenador-interino-de-la-real-sociedad-tras-despido-de-sergio-francisco | https://www.noticiasdegipuzkoa.eus/reala/2025/12/29/cuesta-enero-matarazzo-pelllegrino-real-sociedad-calendario-10489649.html
3,RCD Espanyol Barcelona,Luis Blanco,2022-05-14,2022-05-22,2,traghettatore,Luis Blanco (Luis Blanco Garrido),alta,regge,nome_diverso,"È la stessa persona del 'Luis Blanco Garrido' di Wikidata: allenatore del filial, traghettatore dell'Espanyol ",https://en.wikipedia.org/wiki/2021%E2%80%9322_RCD_Espanyol_season | https://www.fichajes.net/noticias/sustituto-vicente-moreno-espanyol-20220513.html
4,Getafe CF,Pepe Bordalás,2017-08-20,2021-05-23,173,titolare,Pepe Bordalás (José Bordalás),alta,non_controllato,date_diverse,Bordalás guidò il Getafe senza interruzioni da settembre 2016 al 26/05/2021 (poi Valencia); le date Wikidata (,https://en.wikipedia.org/wiki/Jos%C3%A9_Bordal%C3%A1s | https://www.getafecf.com/en/blue-trainers
4,SM Caen,Patrice Garande,2014-08-09,2018-05-19,152,titolare,Patrice Garande,alta,non_controllato,assente_da_wikidata,"Garande fu entraîneur principal del Caen da giugno 2012 fino a maggio 2018, quando lasciò il club dopo la salv",https://fr.wikipedia.org/wiki/Patrice_Garande
4,Chievo Verona,Rolando Maran,2014-10-26,2018-04-28,148,titolare,Rolando Maran,alta,non_controllato,date_diverse,Nominato il 19/10/2014 al posto di Corini ed esonerato il 29/04/2018 (sostituito da Lorenzo D'Anna) dopo il 4-,https://www.ilpost.it/2018/04/29/chievo-verona-esonerato-maran/ | https://en.wikipedia.org/wiki/Rolando_Maran
4,1.FC Köln,Peter Stöger,2013-08-03,2017-12-02,134,titolare,Peter Stöger,alta,non_controllato,assente_da_wikidata,Stöger fu Cheftrainer (non ad interim) del 1.FC Köln dall'estate 2013 fino all'esonero del 3 dicembre 2017 dop,https://de.wikipedia.org/wiki/Peter_St%C3%B6ger
4,West Bromwich Albion,Tony Pulis,2015-01-03,2017-11-18,116,titolare,Tony Pulis,alta,non_controllato,assente_da_wikidata,Pulis fu head coach permanente del West Bromwich Albion dal 1 gennaio 2015 all'esonero del 20 novembre 2017: i,https://en.wikipedia.org/wiki/Tony_Pulis
4,Real Sociedad,Eusebio,2015-11-21,2018-03-17,112,titolare,Eusebio Sacristán,alta,non_controllato,assente_da_wikidata,"«Eusebio» è Eusebio Sacristán Mena, titolare della Real Sociedad dal 9 novembre 2015 (subentrato a Moyes) all'",https://es.wikipedia.org/wiki/Eusebio_Sacrist%C3%A1n
4,Stade Reims,David Guion,2016-04-30,2021-05-23,109,titolare,"David Guion (ad interim 23/04–30/06/2016, poi titolare 22/05/2017–25/05/2021); nel 2016-17 il Reims era di Michel Der Zakarian",alta,non_controllato,date_diverse,"Il nostro mandato unico fonde DUE incarichi: un interim di 3 gare a fine 2015-16 (23/04–30/06/2016, la partita",https://en.wikipedia.org/wiki/David_Guion | https://maligue2.fr/2017/05/22/david-guion-nouvel-entraineur-stade-de-reims/
4,Real Betis Balompié,Quique Setién,2017-08-20,2019-05-19,94,titolare,Quique Setién,alta,non_controllato,date_diverse,"Setién guidò il Betis per due stagioni piene (94 partite, esattamente il nostro conteggio) fino alla destituzi",https://www.eldesmarque.com/futbol/real-betis/20190519/setien-no-seguira-en-el-betis_161156227.html | https://espndeportes.espn.com/futbol/espana/nota/_/id/5638305/t%C3%A9cnico-quique-seti%C3%A9n-se-va-del-real-betis
4,OGC Nice,Lucien Favre,2016-08-14,2018-05-19,94,titolare,Lucien Favre,alta,non_controllato,date_diverse,"Primo mandato al Nizza dall'estate 2016 fino al 19/05/2018, giorno dell'ultima gara (ko 3-2 col Lione) e dell'",https://en.wikipedia.org/wiki/Lucien_Favre | https://www.lequotidiendusport.fr/lucien-favre-a-nice-2016-2018-ca-a-donne-quoi/
4,CD Leganés,Asier Garitano,2013-09-11,2018-05-19,93,titolare,Asier Garitano,alta,non_controllato,date_diverse,"Primo mandato al Leganés dal 2013 al maggio 2018 (cinque stagioni: Segunda B, Segunda e due di Liga, poi dimis",https://www.cdleganes.com/en/news/asier-garitano-resigns-at-c-d-leganes | https://en.wikipedia.org/wiki/Asier_Garitano
4,EA Guingamp,Antoine Kombouaré,2016-08-12,2018-11-04,88,titolare,Antoine Kombouaré,alta,non_controllato,assente_da_wikidata,Kombouaré firmò per tre anni col Guingamp il 30 maggio 2016 (al posto di Gourvennec) e fu esonerato a novembre,https://fr.wikipedia.org/wiki/Antoine_Kombouar%C3%A9
4,FC Augsburg,Manuel Baum,2016-12-17,2019-04-07,87,titolare,Manuel Baum,alta,non_controllato,club_senza_storia,Baum subentra a Dirk Schuster il 14/12/2016 ed e' esonerato il 09/04/2019: le nostre date (prima e ultima part,https://de.wikipedia.org/wiki/Manuel_Baum | https://de.wikipedia.org/wiki/FC_Augsburg
4,Cádiz CF,Sergio,2022-01-15,2024-01-19,82,titolare,Sergio González Soriano,alta,non_controllato,assente_da_wikidata,"«Sergio» è Sergio González Soriano, titolare del Cádiz dall'11 gennaio 2022 (dopo l'esonero di Cervera) al 20 ",https://es.wikipedia.org/wiki/Sergio_Gonz%C3%A1lez_Soriano
4,Cádiz CF,Álvaro Cervera,2016-09-07,2022-01-09,78,titolare,Álvaro Cervera,alta,non_controllato,date_diverse,Cervera guidò il Cádiz ininterrottamente da aprile 2016 alla destituzione dell'11/01/2022 (subentra Sergio Gon,https://www.cadizcf.com/noticias/alvaro-cervera-deja-de-ser-entrenador-del-cadiz | https://en.wikipedia.org/wiki/2021%E2%80%9322_C%C3%A1diz_CF_season | https://www.republica.com/2022/01/11/alvaro-cervera-destituido-como-entrenador-del-cadiz/
4,FC Toulouse,Pascal Dupraz,2016-03-06,2018-01-20,70,titolare,Pascal Dupraz,alta,non_controllato,assente_da_wikidata,Dupraz fu allenatore titolare del Toulouse dal 1 marzo 2016 alla risoluzione consensuale del 22 gennaio 2018: ,https://fr.wikipedia.org/wiki/Pascal_Dupraz
4,Deportivo Alavés,Abelardo,2017-12-04,2019-05-18,69,titolare,Abelardo Fernández,alta,non_controllato,assente_da_wikidata,"«Abelardo» è Abelardo Fernández (detto Pitu), técnico titolare dell'Alavés dal 1 dicembre 2017 fino alla fine ",https://es.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez
4,FC Augsburg,Jess Thorup,2023-10-22,2025-05-17,65,titolare,Jess Thorup,alta,non_controllato,club_senza_storia,Thorup subentra a Maaßen dopo la 7a giornata 2023/24 e viene esonerato una settimana dopo la fine della stagio,https://de.wikipedia.org/wiki/Jess_Thorup | https://de.wikipedia.org/wiki/FC_Augsburg
4,Fortuna Düsseldorf,Friedhelm Funkel,2016-08-20,2020-01-26,62,titolare,Friedhelm Funkel,alta,non_controllato,assente_da_wikidata,Funkel guida il Fortuna Düsseldorf da metà marzo 2016 (successore di Marco Kurz) fino all'esonero del 29/01/20,https://de.wikipedia.org/wiki/Friedhelm_Funkel
4,FC Girondins Bordeaux,Jocelyn Gourvennec,2016-08-13,2018-01-16,61,titolare,Jocelyn Gourvennec,alta,non_controllato,assente_da_wikidata,Ingaggiato dal Bordeaux il 27/05/2016 e sollevato dall'incarico il 18/01/2018: il nostro intervallo 2016-08-13,https://fr.wikipedia.org/wiki/Jocelyn_Gourvennec
4,Villarreal CF,Fran Escribá,2016-08-17,2017-09-24,59,titolare,Fran Escribá (Francisco Escribá Segura),alta,non_controllato,assente_da_wikidata,Subentra a Marcelino sulla panchina del Villarreal l'11/08/2016 e viene rescisso il 25/09/2017: il nostro 2016,https://es.wikipedia.org/wiki/Fran_Escrib%C3%A1
4,Norwich City,Daniel Farke,2018-01-06,2021-11-06,58,titolare,Daniel Farke,alta,non_controllato,date_diverse,"Farke fu head coach del Norwich da maggio 2017 all'esonero del 06/11/2021, poche ore dopo il 2-1 a Brentford c",https://www.canaries.co.uk/content/club-statement-daniel-farke | https://feeds.bbci.co.uk/sport/football/59194369
4,Hannover 96,André Breitenreiter,2017-08-13,2019-01-26,57,titolare,André Breitenreiter,alta,non_controllato,date_diverse,Breitenreiter guida l'Hannover 96 da marzo 2017 all'esonero del 27/01/2019 (sostituito da Thomas Doll): il nos,https://en.wikipedia.org/wiki/2018%E2%80%9319_Hannover_96_season | https://www.malaymail.com/amp/news/sports/2019/01/28/troubled-hanover-sack-coach-breitenreiter-appoint-doll/1717296 | https://www.kicker.de/breitenreiter-folgt-in-hannover-auf-leitl-1078739/artikel
4,AS Saint-Étienne,Jean-Louis Gasset,2018-01-14,2019-05-24,57,titolare,Jean-Louis Gasset,alta,non_controllato,date_diverse,"Arrivato il 22/11/2017 come co-allenatore accanto a Julien Sablé, promosso entraîneur principal il 20/12/2017 ",https://fr.wikipedia.org/wiki/Jean-Louis_Gasset | https://www.europe1.fr/sport/ligue-1-lentraineur-jean-louis-gasset-quitte-saint-etienne-3899942 | https://www.asse-stats.com/jean-louis-gasset
4,Everton FC,Ronald Koeman,2016-08-13,2017-10-22,55,titolare,Ronald Koeman,alta,non_controllato,date_diverse,"Koeman è il titolare da giugno 2016 all'esonero del 23/10/2017 (ultima gara 22/10, 5-2 con l'Arsenal). L'""inte",https://www.skysports.com/football/news/11671/11095173/ronald-koeman-sacked-by-everton | https://en.wikipedia.org/wiki/2017%E2%80%9318_Everton_F.C._season
4,Cagliari Calcio,Massimo Rastelli,2015-08-09,2017-10-15,53,titolare,Massimo Rastelli,alta,non_controllato,assente_da_wikidata,Firma col Cagliari il 12/06/2015 (promozione in A nel 2016) ed è esonerato il 17/10/2017 dopo quattro sconfitt,https://it.wikipedia.org/wiki/Massimo_Rastelli
4,Hamburger SV,Markus Gisdol,2016-10-01,2018-01-20,52,titolare,Markus Gisdol,alta,non_controllato,assente_da_wikidata,"Prende l'Amburgo il 26/09/2016 (dopo 5 giornate, 16° posto) ed è sollevato il 21/01/2018: il nostro 2016-10-01",https://de.wikipedia.org/wiki/Markus_Gisdol
4,CD Leganés,Mauricio Pellegrino,2018-08-20,2019-10-19,51,titolare,Mauricio Pellegrino,alta,non_controllato,assente_da_wikidata,"Annunciato tecnico del Leganés il 02/06/2018, esce il 21/10/2019 per rescissione consensuale dopo i risultati ",https://es.wikipedia.org/wiki/Mauricio_Pellegrino
4,Stade Rennais FC,Christian Gourcuff,2016-08-14,2017-11-03,50,titolare,Christian Gourcuff,alta,non_controllato,assente_da_wikidata,"Secondo mandato al Rennes: nominato il 10/05/2016, lascia il 07/11/2017 all'arrivo del nuovo presidente Olivie",https://fr.wikipedia.org/wiki/Christian_Gourcuff
4,FC Metz,Philippe Hinschberger,2016-08-13,2017-10-21,48,titolare,Philippe Hinschberger,alta,non_controllato,assente_da_wikidata,Allenatore del Metz dal 23/12/2015 (promozione in Ligue 1 nel 2015-16) fino all'esonero del 22/10/2017: il nos,https://fr.wikipedia.org/wiki/Philippe_Hinschberger
4,Stade Rennais FC,Sabri Lamouchi,2017-11-18,2018-12-02,46,titolare,Sabri Lamouchi,alta,non_controllato,assente_da_wikidata,Wikipedia FR conferma: nominato l'8/11/2017 al posto di Christian Gourcuff ed esonerato il 3/12/2018 dopo l'1-,https://fr.wikipedia.org/wiki/Sabri_Lamouchi
4,RCD Mallorca,Vicente Moreno,2017-09-06,2020-07-19,45,titolare,Vicente Moreno,alta,non_controllato,assente_da_wikidata,"Wikipedia ES (Vicente Moreno Peris) conferma il mandato continuo dal 20/06/2017 al 04/08/2020, con due promozi",https://es.wikipedia.org/wiki/Vicente_Moreno_Peris
4,FC Augsburg,Enrico Maaßen,2022-07-31,2023-10-07,44,titolare,Enrico Maaßen,alta,non_controllato,club_senza_storia,"Presentato l'08/06/2022 e destituito il 09/10/2023: la nostra prima partita (31/07/2022, coppa) e l'ultima (07",https://de.wikipedia.org/wiki/FC_Augsburg
4,Hellas Verona,Fabio Pecchia,2016-08-05,2018-05-19,44,titolare,Fabio Pecchia,alta,non_controllato,assente_da_wikidata,"Wikipedia IT conferma: accordo col Verona il 01/06/2016, promozione nel 2016-17 e addio a fine campionato 2017",https://it.wikipedia.org/wiki/Fabio_Pecchia
